fplus1	2.2564	0.46485038579830185	0.10126836848290856
fplus2	2.0198	0.5281254287071985	0.11458240311755534
fplus3	1.7831	0.6066073103975373	0.13110533589046217
fplus4	1.5465	0.708933652460674	0.15287285863850447
vs1	2.1289	0.4806858276946621	0.11318406721244345
vs2	1.9083	0.5509148437560287	0.12977016174029835
vs3	1.6877	0.6358758035622883	0.15022091984421657
vs4	1.4672	0.7356531530066577	0.17566828412509033
a1s1	2.1289	0.5320630729046285	0.122774835190263
a1s2	1.9083	0.5610232293544413	0.12873698247865528
a1s3	1.6877	0.5939910133649249	0.13535551009444302
a1s4	1.4672	0.6329765242756212	0.14292180313644973
a2s1	2.1289	0.3978622711896705	9.253051157013764e-2
a2s2	1.9083	0.44150582344314915	0.10250803570215777
a2s3	1.6877	0.4884047690553855	0.11323113558526308
a2s4	1.4672	0.5259081960990053	0.12180608545903315
